period,Day-ahead demand forecast,Demand,Net generation,Total interchange
2020-01-14T03,40432.0,40988.0,40795.0,-193.0
2020-01-14T04,39198.0,39406.0,39327.0,-79.0
2020-01-14T05,36758.0,36925.0,36844.0,-81.0
2020-01-14T06,34536.0,34591.0,34392.0,-198.0
2020-01-14T07,33651.0,32960.0,32935.0,-26.0
2020-01-14T08,32717.0,32169.0,32146.0,-24.0
2020-01-14T09,32276.0,31694.0,31676.0,-19.0
2020-01-14T10,32297.0,31594.0,31577.0,-18.0
2020-01-14T11,33018.0,32283.0,32266.0,-18.0
2020-01-14T12,35131.0,34342.0,34335.0,-7.0
2020-01-14T13,38700.0,37793.0,37979.0,185.0
2020-01-14T14,40051.0,39294.0,39625.0,329.0
2020-01-14T15,39575.0,39240.0,39529.0,290.0
2020-01-14T16,39682.0,39492.0,39479.0,-13.0
2020-01-14T17,39795.0,39851.0,39933.0,82.0
2020-01-14T18,39781.0,39779.0,39891.0,111.0
2020-01-14T19,39753.0,39642.0,39752.0,109.0
2020-01-14T20,39777.0,39870.0,39862.0,-8.0
2020-01-14T21,39690.0,39996.0,39993.0,-4.0
2020-01-14T22,39564.0,39871.0,39659.0,-213.0
2020-01-14T23,39637.0,40119.0,39901.0,-219.0
2020-01-15T00,40633.0,40739.0,40588.0,-151.0
2020-01-15T01,41962.0,42053.0,41937.0,-117.0
2020-01-15T02,41737.0,41755.0,41458.0,-297.0
2020-01-15T03,41006.0,41004.0,40767.0,-237.0
2020-01-15T04,39433.0,39760.0,39581.0,-179.0
2020-01-15T05,37019.0,37528.0,37413.0,-116.0
2020-01-15T06,34625.0,34973.0,34860.0,-115.0
2020-01-15T07,33342.0,33138.0,32957.0,-182.0
2020-01-15T08,32274.0,32012.0,31817.0,-195.0
2020-01-15T09,31584.0,31398.0,31236.0,-163.0
2020-01-15T10,31411.0,31269.0,31245.0,-26.0
2020-01-15T11,32098.0,31849.0,31929.0,79.0
2020-01-15T12,34036.0,33755.0,33727.0,-29.0
2020-01-15T13,37362.0,37133.0,36963.0,-171.0
2020-01-15T14,38844.0,38680.0,38492.0,-189.0
2020-01-15T15,38797.0,38647.0,38424.0,-223.0
2020-01-15T16,39306.0,39295.0,39199.0,-97.0
2020-01-15T17,40053.0,39955.0,39863.0,-93.0
2020-01-15T18,40615.0,40497.0,40219.0,-279.0
2020-01-15T19,40903.0,40816.0,40502.0,-315.0
2020-01-15T20,41276.0,41356.0,41095.0,-263.0
2020-01-15T21,41368.0,41745.0,41469.0,-277.0
2020-01-15T22,41183.0,41851.0,41536.0,-316.0
2020-01-15T23,41271.0,41831.0,41510.0,-322.0
2020-01-16T00,42022.0,42205.0,41889.0,-317.0
2020-01-16T01,43043.0,43233.0,43230.0,-4.0
2020-01-16T02,42392.0,42603.0,42596.0,-7.0
2020-01-16T03,41346.0,41626.0,41474.0,-152.0
2020-01-16T04,39597.0,40066.0,39924.0,-142.0
2020-01-16T05,37081.0,37471.0,37338.0,-134.0
2020-01-16T06,34559.0,34910.0,34775.0,-135.0
2020-01-16T07,33207.0,33083.0,32886.0,-197.0
2020-01-16T08,32245.0,31982.0,31807.0,-175.0
2020-01-16T09,31672.0,31432.0,31279.0,-154.0
2020-01-16T10,31560.0,31308.0,31141.0,-168.0
2020-01-16T11,32188.0,31935.0,31856.0,-80.0
2020-01-16T12,34348.0,33904.0,33894.0,-11.0
2020-01-16T13,37722.0,37658.0,37756.0,97.0
2020-01-16T14,39443.0,39425.0,39597.0,172.0
2020-01-16T15,39511.0,39744.0,39743.0,-1.0
2020-01-16T16,40019.0,40446.0,40665.0,219.0
2020-01-16T17,40648.0,41273.0,41413.0,139.0
2020-01-16T18,40920.0,41730.0,41952.0,222.0
2020-01-16T19,40930.0,41991.0,42114.0,122.0
2020-01-16T20,40879.0,42152.0,42046.0,-107.0
2020-01-16T21,40762.0,42100.0,42112.0,12.0
2020-01-16T22,40541.0,41862.0,41873.0,10.0
2020-01-16T23,40658.0,42172.0,42173.0,1.0
2020-01-17T00,41716.0,43061.0,43060.0,-2.0
2020-01-17T01,42938.0,44141.0,44058.0,-83.0
